[00:48:29] KOD: 6736 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:31] KOD: 2708 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:48:32] KOD: 6642 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:48:34] KOD: 3177 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:48:35] KOD: 5973 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:37] KOD: 2987 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:48:38] KOD: 9432 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:48:40] KOD: 8136 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:41] KOD: 8286 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:48:43] KOD: 7402 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:48:44] KOD: 3297 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:46] KOD: 3058 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:47] KOD: 5675 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:49] KOD: 2549 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:48:50] KOD: 2776 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:52] KOD: 2504 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:48:54] KOD: 6575 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:48:55] KOD: 3486 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:57] KOD: 3770 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:48:58] KOD: 7192 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:00] KOD: 4989 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:01] KOD: 4334 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:03] KOD: 7794 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:04] KOD: 6251 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:06] KOD: 7995 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:07] KOD: 2640 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:09] KOD: 5632 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:10] KOD: 3597 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:12] KOD: 3012 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:13] KOD: 4338 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:15] KOD: 7425 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:16] KOD: 8497 | TEHDIT: ORTA | DURUM: ENGELLENDI
